,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
311,Benalla,-36.55,145.9833,62.35,83,97,4.76,AU,overcast clouds
312,College,64.8569,-147.8028,-2.54,78,90,0.0,US,light snow
313,Lar,26.2039,83.9717,68.02,40,95,1.81,IN,overcast clouds
314,Kununurra,-15.7667,128.7333,78.78,78,20,0.0,AU,few clouds
315,Kafue,-15.7691,28.1814,85.19,23,11,10.8,ZM,few clouds
316,Leningradskiy,69.3833,178.4167,-24.45,93,74,8.1,RU,broken clouds
317,Sioux Lookout,50.1001,-91.917,24.87,93,90,5.75,CA,light snow
318,Menongue,-14.6585,17.691,73.26,57,93,3.78,AO,overcast clouds
319,Port Lincoln,-34.7333,135.8667,57.96,82,69,12.01,AU,broken clouds
320,Shenzhen,22.5455,114.0683,64.27,49,53,9.28,CN,broken clouds
321,Ketchikan,55.3422,-131.6461,39.76,89,100,10.22,US,overcast clouds
322,La Paz,-16.5,-68.15,60.78,54,75,4.61,BO,broken clouds
323,Whitehorse,60.7161,-135.0538,20.17,86,75,19.57,CA,broken clouds
324,Bokaro,23.7833,85.9667,64.09,50,6,4.34,IN,clear sky
325,Ondangwa,-17.9167,15.95,80.64,37,100,15.05,NA,overcast clouds
326,Husavik,66.0449,-17.3389,22.91,90,100,10.36,IS,overcast clouds
327,Bam,29.106,58.357,60.76,32,0,2.08,IR,clear sky
328,Cooma,-36.2333,149.1333,47.97,100,12,0.0,AU,few clouds
329,Ostrovnoy,68.0531,39.5131,24.84,81,100,35.61,RU,light snow
330,Santa Rosa,14.3122,121.1114,80.85,65,100,13.62,PH,overcast clouds
331,San Rafael Del Sur,11.8485,-86.4384,86.97,50,72,11.81,NI,broken clouds
332,Mitsamiouli,-11.3847,43.2844,82.69,69,20,8.05,KM,few clouds
333,Constitucion,-35.3333,-72.4167,63.25,63,75,13.98,CL,broken clouds
334,Alekseyevka,50.6309,38.6903,31.44,91,100,10.27,RU,overcast clouds
335,Makarov,48.6333,142.8,30.38,82,84,17.38,RU,light snow
336,Bubaque,11.2833,-15.8333,82.35,62,59,11.52,GW,broken clouds
337,Brigantine,39.4101,-74.3646,51.35,53,17,8.75,US,few clouds
338,Bagotville,-28.9833,153.4167,69.82,98,71,6.11,AU,broken clouds
339,Cruzilia,-21.8386,-44.8083,79.39,57,37,7.16,BR,scattered clouds
340,Ribeira Grande,38.5167,-28.7,66.6,72,75,3.44,PT,broken clouds
341,Diego De Almagro,-26.3667,-70.05,82.6,15,0,13.53,CL,clear sky
342,Katherine,-14.4667,132.2667,86.32,51,100,5.75,AU,overcast clouds
343,Saint-Pierre,-21.3393,55.4781,76.68,71,0,12.66,RE,clear sky
344,Batagay,67.6333,134.6333,-36.27,100,98,0.96,RU,overcast clouds
345,Narasannapeta,18.4167,84.05,69.4,68,4,7.36,IN,clear sky
346,Westport,41.1415,-73.3579,49.89,53,100,1.01,US,overcast clouds
