City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
365,Minas Novas,BR,81.07,broken clouds,-17.2186,-42.5903,J K Palace Hotel
366,Kieta,PG,79.81,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
369,Noumea,NC,81.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
376,Machiques,VE,89.74,overcast clouds,10.0644,-72.545,hotel el markes
379,Labuhan,ID,78.35,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
380,Nilanga,IN,72.0,overcast clouds,18.1,76.7667,Shruti nilanga rice and vada pav and tea centre
381,Dingle,PH,75.52,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
382,Saint-Paul,RE,77.11,few clouds,-21.0096,55.2707,Boucan Canot
383,Aquin,HT,83.79,few clouds,18.2833,-73.4,Asheev Beach
386,Caravelas,BR,79.88,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
390,Tecoanapa,MX,85.12,scattered clouds,16.5167,-98.75,Hotel Manglares
393,Hukuntsi,BW,85.01,overcast clouds,-24.0,21.75,Entabeni Hotel
394,Tessalit,ML,84.92,overcast clouds,20.1986,1.0114,
397,The Valley,AI,86.83,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
398,Pangai,TO,78.03,light rain,-19.8,-174.35,Ha'apai Beach Resort
400,Luwuk,ID,78.66,light rain,-0.9516,122.7875,Hotel Santika Luwuk
402,Birao,CF,83.53,few clouds,10.2849,22.7882,
404,Porangatu,BR,84.63,moderate rain,-13.4408,-49.1486,Wembley Park Hotel
407,Kuching,MY,75.42,few clouds,1.55,110.3333,The Ranee Boutique Suites
409,Manta,EC,76.78,overcast clouds,-0.95,-80.7333,Balandra Hotel
411,Bima,ID,76.15,light rain,-8.4667,118.7167,Lambitu Hotel
412,Eyl,SO,78.03,scattered clouds,7.9803,49.8164,Amiin Hotel
414,Umarga,IN,71.55,broken clouds,17.8333,76.6167,Ahmed home
415,Perbaungan,ID,80.71,few clouds,3.5679,98.956,Bendang Lama
416,Cozumel,MX,78.94,few clouds,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
418,Bonthe,SL,82.36,light rain,7.5264,-12.505,Bonthe Holiday Village
419,Praia,CV,79.34,broken clouds,14.9215,-23.5087,LT Aparthotel
424,El Tarra,CO,87.06,overcast clouds,8.5756,-73.0949,Casa juvenil Sor Amanda Bedoya
428,Tual,ID,81.66,heavy intensity rain,-5.6667,132.75,Grand Vilia Hotel
429,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
430,Vila Velha,BR,80.55,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
431,Cockburn Town,TC,79.75,clear sky,21.4612,-71.1419,Osprey Beach Hotel
437,Port Hedland,AU,82.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
438,Sinnamary,GF,79.45,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
439,Mutoko,ZW,77.95,clear sky,-17.397,32.2268,Mutoko Hotel
443,Akyab,MM,74.3,clear sky,20.15,92.9,Hotel Memory
445,San Cristobal,VE,86.09,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
446,Ambilobe,MG,78.93,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
447,Saint-Georges,GD,82.94,overcast clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
449,Kawalu,ID,71.71,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
450,Meiganga,CM,79.27,overcast clouds,6.5167,14.3,DFR HOUSE
452,Maxixe,MZ,73.6,clear sky,-23.8597,35.3472,Oceano
456,Charters Towers,AU,77.22,clear sky,-20.1,146.2667,Cattleman's Rest Motor Inn
457,Tubuala,PA,79.34,overcast clouds,9.5167,-79.0333,Río Nabagana
458,Manggar,ID,80.6,scattered clouds,-2.8833,108.2667,Guest Hotel
462,Adrar,MR,79.83,overcast clouds,20.5022,-10.0711,
463,Sao Domingos,BR,79.12,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
464,Jaque,PA,80.51,moderate rain,7.5175,-78.1703,Aventuras Jaque S.A
469,Oistins,BB,82.44,overcast clouds,13.0667,-59.5333,Butterfly Beach Hotel
474,Mali,GN,79.41,clear sky,12.079,-12.2982,Hotel La Dame de Mali
477,Sao Jose Da Coroa Grande,BR,84.88,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
479,Panama City,PA,81.05,broken clouds,8.9936,-79.5197,Riande Urban Hotel
480,Luangwa,ZM,86.14,clear sky,-15.6167,30.4167,Gerasimos Safari Lodge
481,Poum,NC,80.64,clear sky,-20.2333,164.0167,Gîte kajeon
485,Daru,PG,81.05,moderate rain,-9.0763,143.2092,Daru Lodge
486,Zeerust,ZA,74.98,broken clouds,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
489,Lampazos De Naranjo,MX,73.0,overcast clouds,27.0167,-100.5167,Bella Vista
493,Puerto Escondido,MX,85.39,broken clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
494,Aketi,CD,74.53,overcast clouds,2.7388,23.7833,
504,Vanimo,PG,77.43,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
505,Lorengau,PG,81.16,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
506,Nuevo Progreso,MX,78.48,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
508,Gualeguay,AR,78.21,broken clouds,-33.1416,-59.3097,Cabañas Nuestro Refugio
510,Cabadiangan,PH,77.05,overcast clouds,9.7531,122.4739,Kipot
512,Wesselsbron,ZA,82.67,clear sky,-27.8549,26.3658,Wesselsbron Lodge
516,Pouembout,NC,77.16,clear sky,-21.1333,164.9,Camping de Tipenga
517,Bara,NG,86.09,scattered clouds,10.3744,10.7288,
519,Taoudenni,ML,78.24,overcast clouds,22.6783,-3.9836,
523,Pontianak,ID,76.98,light rain,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
524,Ranong,TH,77.99,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
526,Alyangula,AU,83.71,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
527,Atar,MR,86.0,broken clouds,20.5169,-13.0499,Oumou Elghoura
